Vehicle Class Wise Vehicle Category Group Data  For All State (2025),,,,,
S No,                      Vehicle Class                       ,Vehicle Category Group,,,
,,TWO WHEELER,,,
,,,,,
,,2WIC,2WN,2WT,TOTAL
1,ADAPTED VEHICLE,"16,160",0,0,"16,160"
2,M-CYCLE/SCOOTER,0,"1,08,72,654",0,"1,08,72,654"
3,M-CYCLE/SCOOTER-WITH SIDE CAR,0,"3,168",0,"3,168"
4,MOPED,0,"2,13,524",0,"2,13,524"
5,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,52,52
6,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,"10,594","10,594"
7,MOTORISED CYCLE (CC > 25CC),0,"92,481",0,"92,481"